task_name,window_index,ctx_used,horizon,radius,kept_mass_frac_ctxQ,dropped_mass_frac_ctxQ,kept_edges_frac_ctxQ,S_tokens,ctx_tokens,future_tokens,q_sel_ctx_queries,exclude_reg_query,probe_weight_sum
monash_covid_deaths,0,182,30,8,0.7402243589743585,0.25977564102564155,0.7641025641025634,15,13,2,13,False,3328.0
monash_covid_deaths,0,182,30,16,0.8395833333333329,0.1604166666666671,0.8666666666666661,15,13,2,13,False,3328.0
monash_covid_deaths,0,182,30,32,0.8395833333333329,0.1604166666666671,0.8666666666666661,15,13,2,13,False,3328.0
monash_covid_deaths,0,182,30,64,0.8395833333333329,0.1604166666666671,0.8666666666666661,15,13,2,13,False,3328.0
monash_covid_deaths,0,182,30,128,0.8395833333333329,0.1604166666666671,0.8666666666666661,15,13,2,13,False,3328.0
monash_fred_md,0,716,12,2,0.07649545678542717,0.9235045432145729,0.10360777058279376,47,46,1,46,False,4922.0
monash_fred_md,0,716,12,4,0.13455004452436733,0.8654499554756326,0.18223866790009244,47,46,1,46,False,4922.0
monash_fred_md,0,716,12,8,0.24246327820380925,0.7575367217961908,0.32839962997224786,47,46,1,46,False,4922.0
monash_fred_md,0,716,12,16,0.4255059783689384,0.5744940216310617,0.5763182238667899,47,46,1,46,False,4922.0
monash_fred_md,0,716,12,32,0.6604563099241789,0.3395436900758211,0.8945420906567993,47,46,1,46,False,4922.0
monash_fred_md,0,716,12,64,0.7226088685623383,0.2773911314376617,0.978723404255319,47,46,1,46,False,4922.0
monash_fred_md,0,716,12,128,0.7226088685623383,0.2773911314376617,0.978723404255319,47,46,1,46,False,4922.0
monash_hospital,0,72,12,2,0.5714285714285707,0.42857142857142927,0.5714285714285707,7,6,1,6,False,1536.0
monash_hospital,0,72,12,4,0.8095238095238093,0.1904761904761907,0.8095238095238093,7,6,1,6,False,1536.0
monash_hospital,0,72,12,8,0.8571428571428577,0.14285714285714235,0.8571428571428577,7,6,1,6,False,1536.0
monash_hospital,0,72,12,16,0.8571428571428577,0.14285714285714235,0.8571428571428577,7,6,1,6,False,1536.0
monash_hospital,0,72,12,32,0.8571428571428577,0.14285714285714235,0.8571428571428577,7,6,1,6,False,1536.0
monash_hospital,0,72,12,64,0.8571428571428577,0.14285714285714235,0.8571428571428577,7,6,1,6,False,1536.0
monash_hospital,0,72,12,128,0.8571428571428577,0.14285714285714235,0.8571428571428577,7,6,1,6,False,1536.0
monash_m1_monthly,0,30,18,2,0.5156249999999994,0.48437500000000056,0.5999999999999993,5,3,2,3,False,768.0
monash_m1_monthly,0,30,18,4,0.5156249999999994,0.48437500000000056,0.5999999999999993,5,3,2,3,False,768.0
monash_m1_monthly,0,30,18,8,0.5156249999999994,0.48437500000000056,0.5999999999999993,5,3,2,3,False,768.0
monash_m1_monthly,0,30,18,16,0.5156249999999994,0.48437500000000056,0.5999999999999993,5,3,2,3,False,768.0
monash_m1_monthly,0,30,18,32,0.5156249999999994,0.48437500000000056,0.5999999999999993,5,3,2,3,False,768.0
monash_m1_monthly,0,30,18,64,0.5156249999999994,0.48437500000000056,0.5999999999999993,5,3,2,3,False,768.0
monash_m1_monthly,0,30,18,128,0.5156249999999994,0.48437500000000056,0.5999999999999993,5,3,2,3,False,768.0
monash_m1_quarterly,0,10,8,2,0.5484400656814452,0.4515599343185548,0.666666666666667,3,2,1,2,False,406.0
monash_m1_quarterly,0,10,8,4,0.5484400656814452,0.4515599343185548,0.666666666666667,3,2,1,2,False,406.0
monash_m1_quarterly,0,10,8,8,0.5484400656814452,0.4515599343185548,0.666666666666667,3,2,1,2,False,406.0
monash_m1_quarterly,0,10,8,16,0.5484400656814452,0.4515599343185548,0.666666666666667,3,2,1,2,False,406.0
monash_m1_quarterly,0,10,8,32,0.5484400656814452,0.4515599343185548,0.666666666666667,3,2,1,2,False,406.0
monash_m1_quarterly,0,10,8,64,0.5484400656814452,0.4515599343185548,0.666666666666667,3,2,1,2,False,406.0
monash_m1_quarterly,0,10,8,128,0.5484400656814452,0.4515599343185548,0.666666666666667,3,2,1,2,False,406.0
monash_m1_yearly,0,9,6,2,0.3720073664825045,0.6279926335174955,0.6666666666666671,3,2,1,2,False,362.0
monash_m1_yearly,0,9,6,4,0.3720073664825045,0.6279926335174955,0.6666666666666671,3,2,1,2,False,362.0
monash_m1_yearly,0,9,6,8,0.3720073664825045,0.6279926335174955,0.6666666666666671,3,2,1,2,False,362.0
monash_m1_yearly,0,9,6,16,0.3720073664825045,0.6279926335174955,0.6666666666666671,3,2,1,2,False,362.0
monash_m1_yearly,0,9,6,32,0.3720073664825045,0.6279926335174955,0.6666666666666671,3,2,1,2,False,362.0
monash_m1_yearly,0,9,6,64,0.3720073664825045,0.6279926335174955,0.6666666666666671,3,2,1,2,False,362.0
monash_m1_yearly,0,9,6,128,0.3720073664825045,0.6279926335174955,0.6666666666666671,3,2,1,2,False,362.0
monash_m3_monthly,0,48,18,2,0.5833333333333333,0.41666666666666674,0.5833333333333333,6,4,2,4,False,1024.0
monash_m3_monthly,0,48,18,4,0.6666666666666664,0.3333333333333336,0.6666666666666664,6,4,2,4,False,1024.0
monash_m3_monthly,0,48,18,8,0.6666666666666664,0.3333333333333336,0.6666666666666664,6,4,2,4,False,1024.0
monash_m3_monthly,0,48,18,16,0.6666666666666664,0.3333333333333336,0.6666666666666664,6,4,2,4,False,1024.0
monash_m3_monthly,0,48,18,32,0.6666666666666664,0.3333333333333336,0.6666666666666664,6,4,2,4,False,1024.0
monash_m3_monthly,0,48,18,64,0.6666666666666664,0.3333333333333336,0.6666666666666664,6,4,2,4,False,1024.0
